 											SMMID	#N/A	#N/A										SMMID:	MF	MW	CAS	CN	Organism	Synonyms
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-22)																													
(DAF-36)																													
(DAF-36)																													
(DAF-36)																													
(DAF-36)																													
(DAF-36)																													
(DAF-36)																													
(DAF-9)																													
(DAF-9)																													
(DAF-9)																													
(DAF-9)																													
(DAF-9)																													
(DAF-9) 																													
(DHS-16)																													
(DHS-16)																													
(DHS-16)																													
(DHS-16)																													
(DHS-16)																													
(DHS-16) 																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28)																													
(DHS-28) 																													
(DHS-28)g																													
"(Dumas, Guo et al. 2010)"																													
(Edison 2009) 																													
(Edison 2009) 																													
(Edison 2009) 																													
(Edison 2009) 																													
(Edison 2009) 																													
(Edison 2009) 																													
(Edison 2009) 																													
(Edison 2009) 																													
(Edison 2009) 																													
(Gallo and Riddle 2009) 																													
"(Gerisch, Rottiers et al. 2007) "																													
"(Gerisch, Rottiers et al. 2007) "																													
"(Gioiello, Sabbatini et al. 2011) "																													
"(Gioiello, Sabbatini et al. 2011) "																													
"(Gioiello, Sabbatini et al. 2011) "																													
(Giroux and Corey 2007) 																													
(Giroux and Corey 2007) 																													
(Giroux and Corey 2008) 																													
(Giroux and Corey 2008) 																													
"(Giroux, Bethke et al. 2008)"																													
"(Giroux, Bethke et al. 2008) "																													
"(Giroux, Bethke et al. 2008) "																													
(Guo and O'Doherty 2005) 																													
"(Hannich, Entchev et al. 2009) "																													
(HSD-1)																													
(HSD-1)																													
(HSD-1)																													
(HSD-1)																													
(HSD-1)																													
(HSD-1)																													
(http	//www.wormbase.org/species/c_elegans/gene/WBGene00017123#01-9d4-6);																												
(http	//www.wormbase.org/species/c_elegans/gene/WBGene00008564#01-9d4-6);																												
(http	//www.wormbase.org/species/c_elegans/gene/WBGene00017123#01-9d4-6);																												
(http	//www.wormbase.org/db/gene/gene?name=WBGene00013284;class=Gene)																												
(http	//www.wormbase.org/species/c_elegans/gene/WBGene00000991#01-9d4-6)																												
(http	//www.wormbase.org/species/c_elegans/gene/WBGene00008564#01-9d4-6)																												
(http	//www.wormbase.org/species/c_elegans/gene/WBGene00017123#01-9d4-6)																												
(Izrayelit et al. 2012)																													
(Izrayelit et al. 2012)																													
(Izrayelit et al. 2012)																													
(Izrayelit et al. 2012)																													
(Izrayelit et al. 2012)																													
(Izrayelit et al. 2012)																													
"(Jang, Kim et al. 2012)"																													
"(Jang, Kim et al. 2012)"																													
"(Jang, Kim et al. 2012)"																													
"(Jeong, Jung et al. 2005) "																													
"(Jeong, Na et al. 2009) "																													
"(Joo, Kim et al. 2010) "																													
"(Joo, Yim et al. 2009)"																													
"(Joo, Yim et al. 2009)"																													
"(Joo, Yim et al. 2009) "																													
"(Joo, Yim et al. 2009) "																													
"(Joo, Yim et al.) "																													
"(Judkins, Mahanti et al. 2014)"																													
"(Judkins, Mahanti et al. 2014)"																													
"(Judkins, Mahanti et al. 2014)"																													
"(Judkins, Mahanti et al. 2014)"																													
"(Judkins, Mahanti et al. 2014)"																													
(Jung and Paik 2005) 																													
"(Jung, Lee et al. 2009) "																													
"(Kaplan, Alborn et al. 2012)"																													
"(Kaplan, Alborn et al. 2012)"																													
"(Kaplan, Alborn et al. 2012)"																													
"(Kaplan, Alborn et al. 2012)"																													
"(Kaplan, Alborn et al. 2012)"																													
"(Kaplan, Alborn et al. 2012)"																													
"(Kaplan, Alborn et al. 2012)"																													
"(Kaplan, Alborn et al. 2012)"																													
"(Kaplan, Alborn et al. 2012)"																													
"(Kaplan, Badri et al. 2009) "																													
"(Kaplan, Badri et al. 2009) "																													
"(Kaplan, Badri et al. 2009) "																													
"(Kaplan, Srinivasan et al. 2011)"																													
"(Kaplan, Srinivasan et al. 2011)"																													
"(Kaplan, Srinivasan et al. 2011)"																													
"(Kaplan, Srinivasan et al. 2011)"																													
"(Kaplan, Srinivasan et al. 2011)"																													
"(Kaplan, Srinivasan et al. 2011)"																													
"(Kaplan, Srinivasan et al. 2011)"																													
"(Kaplan, Srinivasan et al. 2011)"																													
"(Kaplan, Srinivasan et al. 2011) "																													
"(Kim, Sato et al. 2009) "																													
"(Kim, Sato et al. 2009) "																													
"(Kim, Sato et al. 2009) "																													
"(Kim, Sato et al. 2009) "																													
(La Clair 2010) 																													
(La Clair 2010) 																													
(La Clair 2010) 																													
(Lee and Schroeder 2012)																													
"(Lee, Kim et al. 2010) "																													
(Lesch and Bargmann 2010)																													
(Lesch and Bargmann 2010)																													
(Lesch and Bargmann 2010)																													
"(Li, Chen et al. 2013)"																													
"(Macosko, Pokala et al. 2009) "																													
"(Macosko, Pokala et al. 2009) "																													
"(Macosko, Pokala et al. 2009) "																													
(Mahanti and Bose et al. 2014)																													
(Mahanti and Bose et al. 2014)																													
(Mahanti and Bose et al. 2014)																													
(Mahanti and Bose et al. 2014)																													
(Mahanti and Bose et al. 2014)																													
(Mahanti and Bose et al. 2014)																													
"(Mangelsdorf, Auchus et al. 2007) "																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
(MAOC-1)																													
"(Martin, Däbritz et al. 2008)"																													
"(Martin, Dabritz et al. 2008) "																													
"(Martin, Dabritz et al. 2008) "																													
"(Martin, Entchev et al. 2009)"																													
"(Martin, Entchev et al. 2009) "																													
"(Martin, Entchev et al. 2010) "																													
"(Martin, Entchev et al. 2010) "																													
"(Martin, Entchev et al. 2010) "																													
"(Martin, Entchev et al. 2010) "																													
"(Martin, Entchev et al. 2010) "																													
"(Martin, Entchev et al. 2010) "																													
"(Martin, Entchev et al. 2010) "																													
"(Martin, Schafer et al. 2009) "																													
"(Martin, Schafer et al. 2009) "																													
"(Martin, Schafer et al. 2009) "																													
"(Martin, Schafer et al. 2009) "																													
"(McGrath, Xu et al. 2011)"																													
"(McGrath, Xu et al. 2011)"																													
"(McGrath, Xu et al. 2011)"																													
"(McGrath, Xu et al. 2011) "																													
"(Motola, Cummins et al. 2006) "																													
"(Motola, Cummins et al. 2006) "																													
"(Noh, Park et al. 2011)"																													
"(Ogawa, Streit et al. 2009) "																													
(Park et al. 2012)																													
(Park et al. 2012)																													
(Park et al. 2012)																													
(Park et al. 2012)																													
(Park et al. 2012)																													
(Park et al. 2012)																													
(Park et al. 2012)																													
(Park et al. 2012)																													
"(Patel, Fang et al. 2008) "																													
"(Patel, Fang et al. 2008) "																													
"(Prince, Pohnert 2010) "																													
"(Prince, Pohnert 2010) "																													
"(Prince, Pohnert 2010) "																													
"(Pungaliya, Srinivasan et al. 2009) "																													
"(Pungaliya, Srinivasan et al. 2009) "																													
"(Pungaliya, Srinivasan et al. 2009) "																													
"(Pungaliya, Srinivasan et al. 2009) "																													
"(Pungaliya, Srinivasan et al. 2009) "																													
"(Pungaliya, Srinivasan et al. 2009) "																													
"(Pungaliya, Srinivasan et al. 2009) "																													
"(Pungaliya, Srinivasan et al. 2009) "																													
"(Saini, Boland et al. 2012)"																													
"(Saini, Boland et al. 2012)"																													
"(Saini, Boland et al. 2012)"																													
"(Schaedel, Gerisch et al. 2012)"																													
"(Schaedel, Gerisch et al. 2012)"																													
(Schroeder 2006) 																													
(Schroeder 2006) 																													
(Schroeder 2006) 																													
"(Sharma, Wang et al. 2009)"																													
"(Sharma, Wang et al. 2009) "																													
"(Sharma, Wang et al. 2009) "																													
(Sommer and Ogawa)																													
"(Sommer, Ogawa 2011) "																													
"(Sommer, Ogawa 2011) "																													
"(Sommer, Ogawa 2011) "																													
"(Sommer, Ogawa 2011) "																													
"(Sommer, Ogawa 2011) "																													
(SRBC-64)																													
(SRBC-64)																													
(SRBC-64)																													
(SRBC-66)																													
(SRBC-66)																													
(SRBC-66)																													
(SRG-36)																													
(SRG-37)																													
"(Srinivasan, Kaplan et al. 2008) "																													
"(Srinivasan, Kaplan et al. 2008) "																													
"(Srinivasan, Kaplan et al. 2008) "																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
"(Srinivasan, von Reuss et al. 2012)"																													
(STRM-1)																													
(STRM-1)																													
(STRM-1)																													
(STRM-1)																													
(STRM-1)																													
(STRM-1)																													
(TBH-1)																													
(TBH-1)																													
(TBH-1)																													
(TBH-1)																													
(TDC-1)																													
(TDC-1)																													
(TDC-1)																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
(von Reuss et al. 2012) 																													
"(Wang, Zhou et al. 2009)"																													
"(Wang, Zhou et al. 2009) "																													
"(Wilbrink, Petrusma et al. 2011)"																													
"(Wollam, Magner et al. 2012)"																													
"(Wollam, Magner et al. 2012)"																													
"(Yamada, Hirotsu et al. 2010)"																													
"(Yamada, Hirotsu et al. 2010)"																													
"(Yamawaki, Berman et al. 2010)"																													
"(Zhao, Zhang et al. 2013)"																													
"(Zhi, Zhou et al. 2012)"																													
ACOX-1																													
ACOX-1;																													
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS																													
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 (DAF-22)																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	TBD																												
BIOSYNTHESIS	TBD																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS																													
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS																													
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS																													
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	 																												
BIOSYNTHESIS	TBD																												
BIOSYNTHESIS	TBD																												
BIOSYNTHESIS	TBD																												
BIOSYNTHESIS	TBD																												
BIOSYNTHESIS	TBD																												
BIOSYNTHESIS	TBD																												
BIOSYNTHESIS	TBD																												
BIOSYNTHESIS	TBD																												
BIOSYNTHESIS	TBD																												
BIOSYNTHESIS	TBD																												
BIOSYNTHESIS	TBD																												
