 											SMMID	#N/A	#N/A										SMMID:	MF	MW	CAS	CN	Organism	Synonyms
(ACOX-1)																							 ascr#12	 C12H22O6	262.3	 1355681-43-4	" 5R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-hexanoic acid"	" <i>C. elegans, P. pacificus</i>"	 none
(ACOX-1)																							 ascr#13	 C14H24O6	288.34	 1355681-45-6	" 7R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-octenoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#14	 C14H26O6	290.35	 1355681-47-8	" 7R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-octanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#15	 C16H28O6	316.39	 1355681-49-0	" 9R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-decenoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#16	 C16H30O6	318.4	 1186217-53-7	" 9R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-decanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#17	 C17H30O6	330.42	 1186217-53-7	" 10R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-undecenoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#18	 C17H32O6	332.43	 1355681-10-5	" 10R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-undecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#19	 C18H32O6	344.44	 1355681-55-8	" 11R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-dodecenoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#20	 C18H34O6	346.46	 1355681-57-0	" 11R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-dodecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#21	 C19H34O6	358.47	 1355681-57-0	"12R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-tridecenoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#22	 C19H36O6	360.49	 1186217-43-5	" 12R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-tridecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#23	 C20H36O6	372.5	 1355681-61-6	" 13R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-tetradecenoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#24	 C20H38O6	374.51	 1355681-61-6	" 13R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-tetradecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#25	 C21H38O6	386.52	 1355681-15-0	" 14R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-pentadecenoic acid"	 <i>C. elegans</i>	 none
